pl_name,pl_rade,pl_bmasse,pl_orbsmax,pl_orbper,pl_insol,pl_eqt,pl_orbeccen,st_teff,st_rad,st_mass
TOI-4336 A b,2.12,5.14,0.0872,16.336334,1.5,308.0,,3298.0,0.328,0.331
TOI-4342 b,2.266,5.76,0.05251,5.5382498,26.9,633.6,,3901.0,0.599,0.6296
TOI-4342 c,2.415,6.41,0.0814,10.688716,11.18,508.9,,3901.0,0.599,0.6296
TOI-4364 b,2.01,4.7,0.04753,5.424019,13.3328,488.0,0.29,3528.0,0.4684,0.487
TOI-4377 b,15.10970598,304.1617855,0.0579,4.378081,430.9826,1162.08,0.045,4974.0,3.52,1.36
TOI-4406 b,11.2089807,95.3485221,0.201,30.08364,58.0054,904.0,0.15,6219.0,1.29,1.19
TOI-4438 b,2.52,5.4,0.0534,7.44628,6.0,435.0,0.14,3422.0,0.372,0.368
TOI-444 b,2.77,8.1,0.133,17.9636,23.4694,609.0,,5225.0,0.779,0.96
TOI-4443.01,1.7193265,3.6,0.029962645,1.8498567,1194.2104,1638.82,,5834.0,1.01733,1.049133
TOI-4463 A b,13.26022417,252.35575516,0.04036,2.8807198,633.0,1395.0,0.0,5640.0,1.062,1.056
TOI-4465 b,14.01122587,1872.00931723,0.416,101.94054,130.528,427.0,0.24,5545.0,1.014,0.93
TOI-4479 b,2.82,8.35,0.0164,1.1589,92.5,861.0,,3400.0,0.451,0.452
TOI-4487 A b,14.60530185,397.28550875,0.05448,3.9540709,1203.0,1639.0,0.083,6206.0,1.634,1.378
TOI-4495.01,3.63045,12.8,0.061732577,5.1830043,346.626,1382.67,,6156.0,1.34,1.168817
TOI-4504 b,2.691,7.71,0.03392,2.42614,548.0544,1234.03,0.0,5315.0,0.92,0.89
TOI-4504 c,11.09689089,1197.32317485,0.3569,82.97213,0.2639,182.8,0.032,5315.0,0.92,0.89
TOI-451 b,1.91,4.31,0.0283,1.858703,695.188,1491.0,0.0,5550.0,0.879,0.95
TOI-451 c,3.1,9.8,0.0823,9.192522,82.5178,875.0,0.0,5550.0,0.879,0.95
TOI-451 d,4.07,15.6,0.1208,16.364988,38.2372,722.0,0.0,5550.0,0.879,0.95
TOI-4515 b,12.17,637.0,0.118,15.266446,42.2987,705.0,0.461,5433.0,0.86,0.949
TOI-4527.01,0.9086617,0.689,0.008332353,0.3994445,571.5072,1362.93,,3702.0,0.485948,0.483901
TOI-4551 b,11.85910158,473.56432643,0.0994,9.95581,1247.74,1655.0,0.101,4896.0,3.55,1.31
TOI-4559 b,1.415,2.59,0.0359,3.965991,15.77,554.16,,3558.0,0.374,0.392
TOI-4562 b,12.53,732.0,0.768,225.1064,3.2011,318.0,0.76,6096.0,1.152,1.192
TOI-4600 b,6.8,959.84178914,0.349,82.6869,3.3159,347.0,0.25,5170.0,0.81,0.89
TOI-4600 c,9.42,2946.26933289,1.152,482.8191,48.3867,191.0,0.21,5170.0,0.81,0.89
TOI-4602.01,2.550449,7.04,0.05099712,3.9812091,603.6935,1380.27,,6011.9,1.15664,1.116795
TOI-4603 b,11.67975789,4096.80816623,0.0888,7.24599,1192.0,1677.0,0.325,6264.0,2.738,1.765
TOI-4633 c,3.2,123.0,0.847,271.9445,1.56,268.57,0.117,5800.0,1.05,1.1
TOI-4638.01,2.933,8.92,0.093013,10.283918787,87.81,779.83,,5700.0,0.895,1.02
TOI-4641 b,8.18255591,1229.99593509,0.173,22.09341,192.5802,950.11,0.074,6560.0,1.72,1.41
TOI-470 b,4.34,17.4,0.119,12.19148,44.7551,660.0,,5190.0,0.831,0.87
TOI-4734 b,10.9175472,61.65871096,0.074,6.235633,775.0,1468.0,0.12,6070.0,1.857,1.391
TOI-4773 b,15.22179579,1687.66884117,0.03216,1.7452851,3879.8071,2255.0,0.024,6740.0,1.55,1.452
TOI-4791 b,12.44196858,734.18362017,0.0555,4.28088,783.2,1472.0,0.0,6058.0,1.409,1.242
TOI-4794 b,14.35870428,308.29355479,0.0492,3.5658116,1310.0,1673.0,0.1,6390.0,1.451,1.25
TOI-480 b,2.85372018,20.8,0.077,6.866196,531.521,1198.94,0.0,6174.0,1.4877,1.2793
TOI-481 b,11.09691,486.2799,0.097,10.33111,253.126,1370.0,0.153,5735.0,1.66,1.14
TOI-4860 b,8.7,86.7,0.01808,1.5227591,42.5,694.0,0.008,3260.0,0.358,0.34
TOI-4914 b,12.87,227.0,0.098,10.60057,18.1082,894.0,0.408,5805.0,1.0,1.03
